Step; S1; S2; S3; S4; S5; S6; S7; S8; S9; A1; A2; A3; A4; C1; C2; C3; Contr; Corr
0; 0.9       ; NULL      ; 0.9       ; NULL      ; 0.8       ; 1.0       ; 0.9       ; NULL      ; NULL      ; 0.5       ; 0.8       ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; NULL      ; NULL      
1; 0.9       ; 0.45      ; 0.9       ; 0.324     ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.576     ; 0.5       ; 0.8       ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.6031    ; 3.8e-2    
2; 0.9       ; 0.45      ; 0.9       ; 0.324     ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.576     ; 0.5       ; 0.8       ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.6031    ; 3.8e-2    
3; 0.9       ; 0.45      ; 0.9       ; 0.6106    ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.8626    ; 0.5       ; 0.872     ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.7909    ; 1.71e-2   
4; 0.9       ; 0.45      ; 0.9       ; 0.6274    ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.8626    ; 0.5       ; 0.872     ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.7973    ; 1.85e-2   
10; 0.9       ; 0.45      ; 0.9       ; 0.4744    ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.7773    ; 0.5       ; 0.872     ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.721     ; 2.6e-3    
100; 0.9       ; 0.45      ; 0.9       ; 0.4866    ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.7937    ; 0.5       ; 0.872     ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.7288    ; 0.0       
200; 0.9       ; 0.45      ; 0.9       ; 0.4866    ; 0.8       ; 1.0       ; 0.9       ; 0.64      ; 0.7937    ; 0.5       ; 0.872     ; 0.8       ; 0.8       ; 1.0       ; 1.0       ; 1.0       ; 0.7288    ; 0.0       
